Date,Open,High,Low,Close,Volume
16-Feb-17,838.5,842.69,837.26,842.17,1005084
15-Feb-17,838.81,841.77,836.22,837.32,1357185
14-Feb-17,839.77,842,835.83,840.03,1363345
13-Feb-17,837.7,841.74,836.25,838.96,1295708
10-Feb-17,832.95,837.15,830.51,834.85,1415128
09-Feb-17,831.73,831.98,826.5,830.06,1194238
08-Feb-17,830.53,834.25,825.11,829.88,1302225
07-Feb-17,825.5,831.92,823.29,829.23,1666605
06-Feb-17,820.92,822.39,814.29,821.62,1350875
03-Feb-17,823.13,826.13,819.35,820.13,1528095
02-Feb-17,815,824.56,812.05,818.26,1689179
01-Feb-17,824,824,812.25,815.24,2251047
31-Jan-17,819.5,823.07,813.4,820.19,2020180
30-Jan-17,837.06,837.23,821.03,823.83,3516933
27-Jan-17,859,867,841.9,845.03,3752497
26-Jan-17,859.05,861,850.52,856.98,3493251
25-Jan-17,853.55,858.79,849.74,858.45,1662148
24-Jan-17,846.98,851.52,842.28,849.53,1688375
23-Jan-17,831.61,845.54,828.7,844.43,2457377
20-Jan-17,829.09,829.24,824.6,828.17,1306183
19-Jan-17,829,833,823.96,824.37,1070454
18-Jan-17,829.8,829.81,824.08,829.02,1027698
17-Jan-17,830,830.18,823.2,827.46,1440905
13-Jan-17,831,834.65,829.52,830.94,1290182
12-Jan-17,828.38,830.38,821.01,829.53,1350308
11-Jan-17,826.62,829.9,821.47,829.86,1325394
10-Jan-17,827.07,829.41,823.14,826.01,1197442
09-Jan-17,826.37,830.43,821.62,827.18,1408924
06-Jan-17,814.99,828.96,811.5,825.21,2017097
05-Jan-17,807.5,813.74,805.92,813.02,1340535
04-Jan-17,809.89,813.43,804.11,807.77,1515339
03-Jan-17,800.62,811.44,796.89,808.01,1959033
30-Dec-16,803.21,803.28,789.62,792.45,1735879
29-Dec-16,802.33,805.75,798.14,802.88,1057392
28-Dec-16,813.33,813.33,802.44,804.57,1214756
27-Dec-16,808.68,816,805.8,809.93,975962
23-Dec-16,808.01,810.97,805.11,807.8,765537
22-Dec-16,809.1,811.07,806.03,809.68,1132119
21-Dec-16,815.72,815.72,805.1,812.2,1459628
20-Dec-16,813.37,816.49,811,815.2,1271883
19-Dec-16,809.28,816.22,804.5,812.5,1263581
16-Dec-16,818.31,819.2,808.12,809.84,2598866
15-Dec-16,817.36,823,812,815.65,1769719
14-Dec-16,815.92,824.26,812.78,817.89,1799654
13-Dec-16,812.39,824.3,811.94,815.34,2128210
12-Dec-16,804.82,811.35,804.53,807.9,1628602
09-Dec-16,799.3,809.95,798.05,809.45,1904463
08-Dec-16,792.95,799,787.9,795.17,1612531
07-Dec-16,779.95,792,773.53,791.47,2029415
06-Dec-16,780.19,785.28,773.32,776.18,1734099
05-Dec-16,770,780,766.97,778.22,1688473
02-Dec-16,761.9,770.5,759,764.46,1718846
01-Dec-16,778.55,778.6,753.36,764.33,2867074
30-Nov-16,789.1,791.51,773.14,775.88,2279054
29-Nov-16,788.38,796.44,785.34,789.44,1561981
28-Nov-16,778.35,799.74,778.1,785.79,2575432
25-Nov-16,782.61,782.9,778.19,780.23,613549
23-Nov-16,789.52,789.52,772.65,779,1312981
22-Nov-16,788.99,793.77,783.74,785,1394174
21-Nov-16,778.1,786.55,776.3,784.8,1630835
18-Nov-16,787.17,791.29,775.35,775.97,1806264
17-Nov-16,782.5,788.9,779.85,786.16,1533679
16-Nov-16,770.42,783.5,766.33,779.98,1798360
15-Nov-16,765.47,780.24,765.22,775.16,2943889
14-Nov-16,771.76,771.78,743.59,753.22,3688274
11-Nov-16,776.81,777.29,765.54,771.75,3592641
10-Nov-16,810,810.06,768.23,780.29,5909609
